iteration,time_step,uav_id,random_value,threshold,failure_occurred,energy_at_failure,failure_reason
2,18,2,0.000364,0.001,Yes,83432.99,Random draw 0.000364 < Threshold 0.001000
3,56,8,0.000617,0.001,Yes,42171.48,Random draw 0.000617 < Threshold 0.001000
4,65,11,9.1e-05,0.001,Yes,54881.28,Random draw 0.000091 < Threshold 0.001000
5,34,2,0.000265,0.001,Yes,48716.79,Random draw 0.000265 < Threshold 0.001000
5,39,11,0.000397,0.001,Yes,115122.93,Random draw 0.000397 < Threshold 0.001000
6,11,6,0.000797,0.001,Yes,122434.94,Random draw 0.000797 < Threshold 0.001000
7,24,4,0.000616,0.001,Yes,72406.53,Random draw 0.000616 < Threshold 0.001000
7,43,7,0.00047,0.001,Yes,58593.06,Random draw 0.000470 < Threshold 0.001000
9,60,12,0.000781,0.001,Yes,79324.37,Random draw 0.000781 < Threshold 0.001000
11,65,9,0.000388,0.001,Yes,35072.45,Random draw 0.000388 < Threshold 0.001000
13,43,0,0.00075,0.001,Yes,22801.88,Random draw 0.000750 < Threshold 0.001000
13,71,7,0.000567,0.001,Yes,229.67,Random draw 0.000567 < Threshold 0.001000
14,58,13,0.000136,0.001,Yes,95450.15,Random draw 0.000136 < Threshold 0.001000
15,24,5,0.000762,0.001,Yes,76839.99,Random draw 0.000762 < Threshold 0.001000
17,36,4,0.000569,0.001,Yes,41776.01,Random draw 0.000569 < Threshold 0.001000
19,57,15,0.000463,0.001,Yes,119901.85,Random draw 0.000463 < Threshold 0.001000
20,31,6,5.6e-05,0.001,Yes,76354.06,Random draw 0.000056 < Threshold 0.001000
21,32,4,0.000381,0.001,Yes,52914.05,Random draw 0.000381 < Threshold 0.001000
21,55,15,0.000871,0.001,Yes,124968.01,Random draw 0.000871 < Threshold 0.001000
23,65,9,0.000357,0.001,Yes,36334.67,Random draw 0.000357 < Threshold 0.001000
24,16,2,0.000513,0.001,Yes,93351.22,Random draw 0.000513 < Threshold 0.001000
24,57,15,0.000876,0.001,Yes,119901.9,Random draw 0.000876 < Threshold 0.001000
25,32,2,0.000664,0.001,Yes,50216.4,Random draw 0.000664 < Threshold 0.001000
25,74,13,0.000655,0.001,Yes,56447.26,Random draw 0.000655 < Threshold 0.001000
27,52,12,0.000963,0.001,Yes,96891.87,Random draw 0.000963 < Threshold 0.001000
28,23,7,0.000478,0.001,Yes,104717.37,Random draw 0.000478 < Threshold 0.001000
28,66,10,0.000873,0.001,Yes,43402.92,Random draw 0.000873 < Threshold 0.001000
28,73,15,0.000881,0.001,Yes,92212.16,Random draw 0.000881 < Threshold 0.001000
29,35,11,0.000808,0.001,Yes,124968.01,Random draw 0.000808 < Threshold 0.001000
29,61,8,0.000545,0.001,Yes,35583.49,Random draw 0.000545 < Threshold 0.001000
31,16,3,0.000595,0.001,Yes,91252.09,Random draw 0.000595 < Threshold 0.001000
32,46,9,0.000124,0.001,Yes,79052.49,Random draw 0.000124 < Threshold 0.001000
33,17,7,0.000245,0.001,Yes,121323.28,Random draw 0.000245 < Threshold 0.001000
38,24,7,0.000825,0.001,Yes,105003.13,Random draw 0.000825 < Threshold 0.001000
41,69,11,0.000665,0.001,Yes,50422.17,Random draw 0.000665 < Threshold 0.001000
44,19,6,0.000389,0.001,Yes,103664.92,Random draw 0.000389 < Threshold 0.001000
45,37,10,6.9e-05,0.001,Yes,112224.91,Random draw 0.000069 < Threshold 0.001000
46,41,12,0.000971,0.001,Yes,122434.94,Random draw 0.000971 < Threshold 0.001000
46,58,9,0.00075,0.001,Yes,51531.24,Random draw 0.000750 < Threshold 0.001000
47,37,5,9.6e-05,0.001,Yes,55063.07,Random draw 0.000096 < Threshold 0.001000
48,25,1,9.9e-05,0.001,Yes,70011.03,Random draw 0.000099 < Threshold 0.001000
48,55,0,0.000298,0.001,Yes,4427.78,Random draw 0.000298 < Threshold 0.001000
49,39,1,0.000158,0.001,Yes,37127.49,Random draw 0.000158 < Threshold 0.001000
